id;has_data_keep_consent;has_marketing_content;has_notification_content;phone_number;first_name;last_name;email
1;false;true;true;Generic heuristic;Precious;Rau;Claudine.Murray@gmail.com
2;false;true;false;Team-oriented;Elmer;Hamill;Graham_Green@hotmail.com
3;false;false;false;Implementation Western Sahara generate;Kassandra;Huel;Lora_Baumbach82@hotmail.com
4;false;true;false;Extended;Hazle;Rutherford;Phoebe92@hotmail.com
5;false;true;false;fuchsia Administrator Gorgeous;Margaretta;Stark;Elouise_Bradtke9@gmail.com
6;false;true;false;Spurs invoice;Edward;Schultz;Demetris_Haag83@gmail.com
7;true;false;true;violet Compatible primary;Alexanne;McLaughlin;Ceasar61@hotmail.com
8;true;true;true;Lilangeni;Libby;Jerde;Alfred.Ebert78@gmail.com
9;false;true;true;Lead Tuna;Shayne;Kovacek;Serenity_Maggio@yahoo.com
10;false;false;true;FTP Rustic;Colten;Funk;Nova.Boehm53@hotmail.com
